ID,Itemsets
T271,"burgers,fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt"
T272,"pancakes,eggs,energy drink,fresh bread"
T273,"strong cheese,salmon,green tea,french fries,frozen smoothie,hot dogs"
T274,"grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich"
T275,"herb & pepper,whole wheat pasta,olive oil,pancakes,eggs"
T276,"spaghetti,antioxydant juice"
T277,"chocolate,milk,almonds,eggs,strawberries,white wine"
T278,"french fries,strawberries"
T279,mineral water
T280,eggs
T281,escalope
T282,cake
T283,"whole wheat pasta,antioxydant juice,body spray,green tea"
T284,"mineral water,oil,frozen smoothie"
T285,"french fries,champagne"
T286,"chocolate,french fries"
T287,"frozen vegetables,spaghetti,eggs"
T288,hot dogs
T289,"chocolate,cookies"
T290,pancakes
T291,"shrimp,butter,chicken,salmon"
T292,"chocolate,cookies,babies food"
T293,"pepper,spaghetti,cake,chocolate,french fries,fresh bread"
T294,"avocado,oil,cereals,french fries"
T295,"herb & pepper,spaghetti,mineral water,spinach,eggs,oil,cooking oil,green tea,shampoo,tomato juice,low fat yogurt"
T296,"herb & pepper,frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries"
T297,french fries
T298,"green tea,tomato juice"
T299,"eggs,whole wheat rice,chocolate"
T300,"grated cheese,herb & pepper,red wine,spaghetti,mineral water,salmon,eggs,cooking oil,green tea"
T301,"french fries,cookies,shallot,tomato juice,fresh bread,low fat yogurt"
T302,"burgers,fresh tuna,spaghetti,muffins,honey"
T303,"herb & pepper,ground beef,spaghetti,eggs,chicken"
T304,"grated cheese,muffins,tomato juice,mayonnaise"
T305,"whole wheat pasta,yams,mineral water,muffins,frozen smoothie,hot dogs,energy drink"
T306,"burgers,spaghetti,soup,milk,olive oil,salmon,eggs,blueberries"
T307,"chocolate,champagne,magazines"
T308,"frozen vegetables,spaghetti,yams,mineral water,french wine,green grapes,rice,chocolate"
T309,"tomato sauce,chocolate"
T310,"milk,eggs"
T311,pet food
T312,yogurt cake
T313,green tea
T314,"escalope,pasta"
T315,"herb & pepper,ground beef"
T316,"mineral water,honey,brownies"
T317,"turkey,eggs,cake,energy drink"
T318,"turkey,burgers,dessert wine,ground beef,soup,salmon,eggs,gums,tomato juice,candy bars"
T319,"spaghetti,mineral water,chicken"
T320,"turkey,ground beef,carrots,french fries,melons"
T321,"mineral water,eggs,low fat yogurt"
T322,"turkey,cooking oil,shampoo"
T323,"spaghetti,hot dogs"
T324,"chocolate,green tea"
T325,"grated cheese,pepper,mineral water,chocolate,eggs,cake,mashed potato,tomato juice"
T326,chocolate
T327,"spaghetti,olive oil,strong cheese,pancakes"
T328,"red wine,mineral water,soup,rice,cookies"
T329,"red wine,shrimp,spaghetti"
T330,green tea
T331,"mineral water,chicken,french fries,frozen smoothie"
T332,muffins
T333,"cake,chocolate"
T334,"fresh tuna,tomatoes,mineral water,soup,avocado,meatballs,olive oil"
T335,"turkey,french fries"
T336,"burgers,turkey,herb & pepper,ground beef,pancakes,eggs,light cream,rice,champagne,fresh bread"
T337,escalope
T338,"chocolate,escalope,fresh bread"
T339,"ham,spaghetti,french wine,vegetables mix,chocolate,french fries"
T340,"avocado,light mayo"
T341,"spaghetti,yams,butter,chocolate"
T342,"energy bar,eggs,french fries"
T343,"fresh tuna,barbecue sauce,eggplant"
T344,energy drink
T345,"whole wheat rice,french fries,hot dogs,green tea"
T346,"mineral water,chicken,green tea"
T347,"eggs,cake,mushroom cream sauce"
T348,escalope
T349,"antioxydant juice,escalope"
T350,"shrimp,spaghetti,french fries"
T351,"grated cheese,spaghetti,salmon,tomato juice"
T352,"spaghetti,green tea"
T353,"champagne,protein bar"
T354,"mineral water,avocado,chocolate"
T355,"tomatoes,champagne,green tea"
T356,"chicken,french fries,escalope"
T357,"frozen vegetables,tomatoes,eggs,green tea,frozen smoothie,light mayo"
T358,"ground beef,chicken,cider,green grapes,honey,chocolate,french fries,champagne,frozen smoothie,escalope"
T359,"french fries,champagne"
T360,"mineral water,soup"
T361,"frozen vegetables,spaghetti,milk,chocolate,babies food"
T362,"honey,whole wheat rice"
T363,"whole wheat rice,chicken,tomato juice"
T364,pancakes
T365,"green tea,protein bar,tomato juice,candy bars"
T366,french fries
T367,mineral water
T368,escalope
T369,"grated cheese,herb & pepper,whole wheat pasta,yams,mineral water,bacon,nonfat milk,spinach"
T370,"spaghetti,milk"
T371,"milk,chocolate,white wine"
T372,sandwich
T373,"chocolate,light mayo"
T374,"shrimp,whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice"
T375,"red wine,ground beef,spaghetti,mineral water,eggs"
T376,"yams,melons"
T377,"spaghetti,cooking oil"
T378,french fries
T379,"mineral water,milk,spinach,cooking oil,chocolate,frozen smoothie,hot dogs"
T380,"tomato sauce,milk"
T381,"shrimp,cider,eggs,french fries"
T382,champagne
T383,salad
T384,french fries
T385,"frozen vegetables,mineral water,energy bar,honey,rice,green tea"
T386,"french fries,salad"
T387,"honey,chocolate,french fries,brownies"
T388,"green tea,strawberries,gluten free bar"
T389,"frozen vegetables,ground beef,mineral water,salmon,honey,extra dark chocolate,green tea,mushroom cream sauce,gluten free bar"
T390,"grated cheese,tomatoes,mineral water,meatballs"
T391,"shrimp,chocolate,water spray"
T392,turkey
T393,"turkey,eggs"
T394,"turkey,frozen vegetables,tomatoes,soup,butter,french wine,pancakes,eggs,tomato juice,fresh bread,green tea"
T395,spaghetti
T396,"milk,frozen smoothie,low fat yogurt"
T397,"burgers,mineral water,milk,whole wheat rice,cereals,chocolate,french fries"
T398,mineral water
T399,"tomatoes,mineral water,soup,cake,chocolate"
T400,mineral water
T401,"ground beef,spaghetti"
T402,"pepper,frozen smoothie"
T403,yogurt cake
T404,"red wine,pancakes"
T405,candy bars
T406,"eggs,french fries,low fat yogurt"
T407,cookies
T408,cookies
T409,"spaghetti,soup,vegetables mix,spinach,french fries,escalope,cauliflower,toothpaste"
T410,cookies
T411,"soup,olive oil,eggs,soda,corn"
T412,"chocolate,frozen smoothie,low fat yogurt"
T413,"spaghetti,mineral water,milk,pancakes,chocolate,french fries"
T414,mineral water
T415,"herb & pepper,frozen vegetables,tomato sauce,mineral water,soup,milk,olive oil,almonds"
T416,"burgers,eggs"
T417,french fries
T418,"frozen smoothie,cottage cheese"
T419,"tomatoes,mineral water,chocolate,light mayo"
T420,"salmon,escalope,shallot,strawberries,fresh bread,low fat yogurt"
T421,energy bar
T422,"red wine,ground beef,spaghetti,pancakes,blueberries,oil,cooking oil,tomato juice"
T423,"ground beef,spaghetti,mineral water,milk,frozen smoothie,champagne"
T424,cookies
T425,"salmon,escalope"
T426,cookies
T427,low fat yogurt
T428,eggs
T429,"red wine,butter,hot dogs"
T430,"tomatoes,mineral water,soup,mashed potato"
T431,cookies
T432,"parmesan cheese,ground beef,salmon,pancakes,champagne"
T433,"ground beef,yams,chocolate,olive oil,eggs"
T434,"shrimp,salmon,eggs,cookies,hot dogs"
T435,"magazines,mint"
T436,"turkey,mineral water,eggs,cooking oil,extra dark chocolate,escalope"
T437,"mineral water,mushroom cream sauce"
T438,"grated cheese,frozen vegetables,mineral water,soup,milk,french wine"
T439,"chocolate,cake"
T440,"burgers,salt,white wine"
T441,energy drink
T442,"olive oil,cake,energy drink"
T443,"ground beef,whole wheat rice"
T444,"eggs,french fries"
T445,"spaghetti,escalope,mushroom cream sauce"
T446,"mineral water,fromage blanc,whole wheat rice,cake,french fries"
T447,"turkey,burgers,frozen vegetables,ground beef,mineral water,milk,eggs,cake,light mayo"
T448,"green tea,cottage cheese"
T449,"fresh tuna,eggs,champagne"
T450,cookies
T451,cookies
T452,cookies
T453,"tomatoes,mineral water,eggplant"
T454,"grated cheese,tomatoes,spaghetti,mineral water,soup,honey,chicken,chocolate,french fries"
T455,protein bar
T456,"herb & pepper,red wine,shrimp,mineral water,barbecue sauce,protein bar"
T457,"burgers,ham,spaghetti,mineral water,milk,eggs,french fries,escalope,pancakes,low fat yogurt"
T458,french fries
T459,"frozen vegetables,soup,milk,eggs,whole wheat rice,chocolate,escalope,melons"
T460,spaghetti
T461,"herb & pepper,shrimp,soup,eggs,oil,cooking oil,energy drink,protein bar,low fat yogurt"
T462,"ham,grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water,carrots"
T463,"ham,red wine,ground beef,yams,mineral water,chocolate,low fat yogurt"
T464,"chocolate,french fries,mushroom cream sauce,cottage cheese,low fat yogurt"
T465,eggs
T466,"cake,cookies"
T467,"grated cheese,mineral water,cake,chocolate bread"
T468,"tomatoes,almonds,cake,champagne,low fat yogurt"
T469,"herb & pepper,shrimp,frozen vegetables,milk,butter,salmon,eggs,chocolate"
T470,"herb & pepper,shrimp,whole wheat pasta,whole wheat rice,chicken,green tea,cauliflower"
T471,"eggs,corn"
T472,"shrimp,frozen vegetables,tomato sauce,mineral water,chocolate,soup,olive oil,salmon,green beans,champagne"
T473,"ham,herb & pepper,tomato sauce,mineral water,green grapes,eggs,gums,light cream,oil,green tea,mint"
T474,"energy bar,cake,chocolate"
T475,"herb & pepper,shrimp,spaghetti,eggs"
T476,"fresh tuna,mineral water,honey,cooking oil"
T477,"red wine,mineral water,oil,ketchup,chili,pet food,eggplant,green tea,escalope,tomato juice,low fat yogurt"
T478,"herb & pepper,shrimp,mineral water,pancakes,eggs,cake,blueberries,tea,frozen smoothie"
T479,"ground beef,mineral water,protein bar"
T480,"shrimp,frozen vegetables,parmesan cheese,spaghetti,salmon,carrots,frozen smoothie,pasta,mashed potato,shallot,light mayo,magazines"
T481,"milk,chocolate"
T482,"frozen vegetables,ground beef,spaghetti,olive oil,whole wheat rice,eggplant,cottage cheese"
T483,"turkey,ground beef,low fat yogurt"
T484,"herb & pepper,spaghetti,mineral water,whole wheat rice,cake,hot dogs,green tea"
T485,green tea
T486,cookies
T487,"eggs,cookies"
T488,"spaghetti,eggs,ham,chocolate,french fries,champagne,brownies,pancakes,light mayo"
T489,"red wine,spaghetti,milk,eggs,chocolate"
T490,"turkey,burgers,pancakes,french fries,strawberries,green tea"
T491,escalope
T492,"frozen vegetables,pancakes,eggs,cake"
T493,french fries
T494,"turkey,ground beef,pepper,spaghetti,honey,cookies"
T495,"chocolate,red wine,tomato sauce,olive oil,chili,french fries,cookies,salt,fresh bread,magazines"
T496,"green tea,french fries"
T497,mineral water
T498,cooking oil
T499,"frozen vegetables,spaghetti"
T500,"ham,spaghetti"
T501,"chicken,chocolate,cookies"
T502,low fat yogurt
T503,"eggs,cake,low fat yogurt"
T504,"shrimp,spaghetti,mineral water,soup,milk,bramble,frozen smoothie,cottage cheese"
T505,"mineral water,eggs,protein bar"
T506,"turkey,shrimp,meatballs,butter,eggs,salad,green tea"
T507,"fresh tuna,spaghetti,chocolate,olive oil,chicken,french fries"
T508,"turkey,shrimp,escalope,hot dogs"
T509,"burgers,pepper,soup,milk,pancakes,green tea"
T510,pancakes
T511,"mineral water,pancakes,eggs,french fries"
T512,"eggs,escalope,low fat yogurt"
T513,"mineral water,french wine,gluten free bar"
T514,"burgers,ground beef,spaghetti,eggs,french fries"
T515,"soup,meatballs,milk,energy bar"
T516,chocolate
T517,herb & pepper
T518,"turkey,red wine,mineral water,eggs,bramble"
T519,"burgers,ham,frozen vegetables,tomatoes,cake,chicken,green tea,toothpaste,mint"
T520,"grated cheese,mineral water,olive oil,energy bar"
T521,"milk,cake,green tea"
T522,"mineral water,almonds,cooking oil,cereals,protein bar,white wine,green tea"
T523,"turkey,fresh tuna,mineral water,milk,eggs,cake,burger sauce,chicken,french fries,frozen smoothie,fresh bread"
T524,"herb & pepper,mineral water,whole wheat rice,yogurt cake,low fat yogurt"
T525,"tomatoes,spaghetti,meatballs,chicken,eggs"
T526,"burgers,mineral water,eggs,green tea,pancakes"
T527,"cake,green tea"
T528,"chocolate,herb & pepper,yogurt cake"
T529,"ground beef,spaghetti,mineral water,almonds,salmon,nonfat milk,green grapes,pancakes"
T530,"mineral water,vegetables mix,eggs"
T531,protein bar
T532,"eggs,eggplant"
T533,mayonnaise
T534,"milk,bug spray,oatmeal,sandwich,asparagus"
T535,"frozen vegetables,soup,almonds,eggs,french fries"
T536,frozen vegetables
T537,"soup,butter,shampoo"
T538,"herb & pepper,whole wheat pasta,pepper,eggs"
T539,"mineral water,whole wheat rice,rice,cooking oil,chocolate,fresh bread,low fat yogurt"
T540,"grated cheese,butter,chocolate,french fries,cookies"
T541,"spaghetti,soup,milk,chutney,cooking oil,asparagus,tomato juice"
T542,"eggs,french fries,frozen smoothie,cookies,champagne,cottage cheese,green tea"
T543,"turkey,tomatoes,mineral water,eggs,blueberries"
T544,"milk,tomato juice,low fat yogurt,green tea"
T545,"mineral water,soup,almonds,cereals,green tea"
T546,"chocolate,light mayo"
T547,"turkey,herb & pepper,chocolate"
T548,"eggs,french fries,green tea"
T549,"mineral water,cake,chocolate,tomato juice"
T550,eggs
T551,"chocolate,pepper,spaghetti,mineral water,whole wheat rice,champagne,mushroom cream sauce"
T552,"frozen vegetables,pepper,mineral water,chocolate,white wine"
T553,"burgers,turkey,spaghetti,milk,whole wheat rice,oil,tomato juice,green tea"
T554,"burgers,spaghetti,mineral water,soup,french wine,french fries,light mayo,low fat yogurt"
T555,"butter,green grapes,frozen smoothie,low fat yogurt"
T556,"eggs,low fat yogurt"
T557,cookies
T558,"milk,energy drink"
T559,"olive oil,energy drink"
T560,"eggs,cookies"
T561,eggs
T562,"energy bar,eggs"
T563,eggs
T564,"eggs,green tea"
T565,escalope
T566,"shrimp,soup,milk,almonds,eggs,oil,chocolate"
T567,"chocolate,french fries"
T568,cake
T569,"pancakes,eggs,cake,green tea,toothpaste"
T570,"herb & pepper,tomatoes,ground beef,eggs,cooking oil"
T571,"cider,eggs,chocolate,low fat yogurt"
T572,"frozen vegetables,cider,eggs,french fries"
T573,"yams,cookies,toothpaste"
T574,"mineral water,milk,escalope,champagne,hot dogs,fresh bread"
T575,"ham,herb & pepper,spaghetti,mineral water,chocolate,pancakes,eggs"
T576,"pepper,mineral water,escalope,shallot,protein bar,white wine"
T577,"turkey,parmesan cheese,spaghetti,meatballs,butter"
T578,"herb & pepper,eggs,escalope"
T579,herb & pepper
T580,"burgers,escalope,shallot"
T581,"chocolate,pepper,tomato sauce,tomato juice"
T582,cookies
T583,"burgers,ground beef,spaghetti,mineral water,escalope,melons"
T584,"frozen vegetables,mineral water,soup,milk,olive oil"
T585,"turkey,eggs,french fries,asparagus,low fat yogurt,zucchini"
T586,"burgers,frozen vegetables,gums"
T587,"herb & pepper,frozen vegetables,ground beef,milk"
T588,"frozen vegetables,cake,light cream,mashed potato"
T589,milk
T590,"turkey,eggs,barbecue sauce"
T591,escalope
T592,"parmesan cheese,french fries"
T593,"energy bar,eggs"
T594,"soup,escalope,mint"
T595,"muffins,chicken,zucchini"
T596,"burgers,eggs,french fries,cookies,green tea"
T597,spaghetti
T598,"avocado,energy bar,chocolate"
T599,cookies
T600,green tea
T601,"whole wheat pasta,spaghetti,mineral water,olive oil"
T602,"grated cheese,frozen vegetables,eggs,gums,escalope,low fat yogurt"
T603,"grated cheese,herb & pepper,mineral water,pancakes,chocolate,escalope,tomato juice"
T604,"chocolate,spaghetti,yams,flax seed,salmon,frozen smoothie"
T605,"burger sauce,oil"
T606,"eggs,french fries,energy drink"
T607,mineral water
T608,"grated cheese,ground beef,mineral water,olive oil"
T609,"eggs,low fat yogurt"
